Photon energy (eV),k,
2000,0.00001503,
1952,1.64E-05,
1905,1.78E-05,
1860,0.00001936,
1815,0.0000063,
1772,6.90E-06,
1730,7.56E-06,
1688,8.30E-06,
1648,9.08E-06,
1609,0.000009941,
1570,0.0000109,
1533,1.19E-05,
1496,1.31E-05,
1460,1.43E-05,
1426,1.56E-05,
1392,1.71E-05,
1358,1.87E-05,
1326,2.04E-05,
1294,2.24E-05,
1263,2.45E-05,
1233,2.67E-05,
1204,2.92E-05,
1175,3.19E-05,
1147,3.48E-05,
1119,3.81E-05,
1093,4.16E-05,
1067,4.54E-05,
1041,4.97E-05,
1016,5.42E-05,
992,5.92E-05,
968,6.47E-05,
945,7.06E-05,
923,7.69E-05,
901,8.36E-05,
879,9.12E-05,
858,0.00009928,
838,0.000108,
818,1.18E-04,
798,1.29E-04,
779,1.41E-04,
760,1.54E-04,
742,1.67E-04,
725,1.81E-04,
707,1.98E-04,
690,2.15E-04,
674,2.33E-04,
658,2.54E-04,
642,2.77E-04,
627,3.01E-04,
612,3.27E-04,
597,3.56E-04,
583,3.86E-04,
569,4.20E-04,
555,4.58E-04,
542,4.97E-04,
529,1.49E-04,
516,1.62E-04,
504,1.76E-04,
492,1.91E-04,
480,2.08E-04,
469,2.26E-04,
458,2.45E-04,
447,2.67E-04,
436,2.90E-04,
426,3.15E-04,
415,3.44E-04,
406,3.71E-04,
396,4.04E-04,
386,4.40E-04,
377,4.77E-04,
368,5.18E-04,
359,5.63E-04,
351,6.07E-04,
342,6.62E-04,
334,7.17E-04,
326,7.77E-04,
318,8.44E-04,
311,9.09E-04,
303,0.000991,
296,0.00107,
289,1.16E-03,
282,1.25E-03,
275,1.36E-03,
269,1.46E-03,
262,1.59E-03,
256,1.71E-03,
250,1.85E-03,
244,2.00E-03,
238,2.16E-03,
232,2.34E-03,
227,2.50E-03,
221,2.72E-03,
216,2.92E-03,
211,3.14E-03,
206,3.37E-03,
201,3.63E-03,
196,3.90E-03,
191,4.21E-03,
187,4.47E-03,
182,4.82E-03,
178,5.11E-03,
174,5.44E-03,
170,5.80E-03,
166,6.19E-03,
162,6.62E-03,
158,6.99E-03,
154,7.30E-03,
151.2,7.30E-03,
147.6,7.60E-03,
144.2,8.10E-03,
140.9,8.90E-03,
137.8,0.0099,
134.8,0.0107,
131.9,1.14E-02,
129.2,1.11E-02,
126.5,0.0111,
124,0.0097,
121.6,8.50E-03,
119.2,8.30E-03,
117,9.60E-03,
114.8,9.90E-03,
112.7,9.00E-03,
110.7,0.0093,
108.8,0.0159,
106.9,0.0106,
105.1,0.0075,
103.3,6.50E-03,
101.6,6.80E-03,
99.99,7.00E-03,
98.4,7.30E-03,
96.86,7.60E-03,
95.37,7.60E-03,
93.93,8.30E-03,
92.53,8.70E-03,
91.17,0.0093,
89.84,0.0103,
82.66,1.99E-02,
77.49,2.26E-02,
72.93,2.44E-02,
68.88,2.81E-02,
65.26,3.35E-02,
61.99,3.74E-02,
59.04,4.37E-02,
56.36,4.62E-02,
53.91,5.20E-02,
51.66,5.78E-02,
49.59,6.50E-02,
47.69,7.26E-02,
45.92,6.80E-02,
44.28,7.50E-02,
42.75,8.20E-02,
41.33,9.00E-02,
40,9.20E-02,
38.75,9.40E-02,
37.57,0.098,
36.47,0.107,
35.42,0.113,
34.44,0.12,
33.51,0.128,
32.63,0.137,
31.79,0.144,
31,0.156,
30.24,0.169,
29.52,0.18,
28.83,0.19,
28.18,0.202,
27.55,0.218,
26.95,0.233,
26.38,0.25,
25.83,0.27,
25.3,0.282,
25,0.325,
24.8,0.3,
24.31,0.322,
24,0.375,
23.84,0.343,
23.39,0.366,
23,0.434,
22.96,0.385,
22.54,0.408,
22.14,0.43,
22,0.48,
21.75,0.45,
21.38,0.47,
21.01,0.482,
21,0.53,
20.66,0.497,
20,0.585,
19.5,0.613,
19,0.645,
18.5,0.677,
18,0.712,
17.75,0.731,
17.5,0.75,
17.25,0.763,
17,0.768,
16.75,0.765,
16.5,0.755,
16.25,0.737,
16,0.717,
15.75,0.703,
15.5,0.696,
15.25,0.699,
15,0.711,
14.75,0.739,
14.5,0.771,
14.25,0.799,
14,0.808,
13.75,0.795,
13.5,0.775,
13.25,0.755,
13,0.747,
12.75,0.766,
12.5,0.793,
12.25,0.824,
12,0.861,
11.8,0.874,
11.6,0.859,
11.4,0.81,
11.2,0.718,
11,0.569,
10.9,0.565,
10.8,0.618,
10.7,0.725,
10.6,0.914,
10.5,1.11,
10.45,1.136,
10.4,1.13,
10.35,1.045,
10.3,0.925,
10.25,0.81,
10.2,0.715,
10.1,0.46,
10,0.323,
9.9,0.236,
9.8,0.168,
9.7,0.119,
9.6,0.077,
9.5,0.0561,
9.4,0.043,
9.3,0.0339,
9.2,0.0271,
9.1,0.0228,
9,0.0189,
8.9,1.56E-02,
8.8,1.32E-02,
8.7,0.0109,
8.6,0.00838,
8.5,5.57E-03,
8.4,3.17E-03,
8.3,0.0014,
8.2,0.000463,
8.1,0.000122,
8,0.000032,
7.8,0.0000047,
7.6,0,
7.4,0,
7.2,0,
7,0,
6.75,0,
6.5,0,
6.25,0,
6,0,
5.7976,0,
5.7819,0,
5.468,0,
5.3858,0,
5.2131,0,
5.1674,0,
4.9939,0,
4.6751,0,
4.594,0,
4.504,0,
4.4226,0,
4.2848,0,
4.1784,0,
4.1034,0,
3.7542,0,
3.7105,0,
3.6427,0,
3.577,0,
3.434,0,
3.3967,0,
3.064,0,
2.8448,0,
2.6503,0,
2.5504,0,
2.4379,0,
2.2705,0,
2.1489,0,
2.1411,0,
2.1102,0,
2.1041,0,
1.9257,0,
1.8892,0,
1.8566,0,
1.7549,0,
1.455,0,
1.3863,0,
1.2228,0,
1.1449,0,
1.0985,0,
0.91018,0,
0.88874,0,
0.84372,0,
0.81061,0,
0.74663,0,
0.7376,0,
0.73225,0,
0.72543,0,
0.68384,0,
0.62934,0,
0.60243,0,
0.57598,0,
0.53317,0,
0.50868,0,
0.38221,0,
0.37953,0,
0.37542,0,
0.3623,0,
0.35354,0,
0.34863,0,
0.33449,0,
0.3224,0,
0.2976,0,
0.2728,0,
0.248,0,
0.2232,0,
0.2108,0,
0.1984,0,
0.1922,0,
0.186,0,
0.1835,0,
0.181,0,
0.1785,0,
0.1761,0,
0.1736,0,
0.1711,0,
0.1686,0,
0.1674,0,
0.1661,0,
0.1649,0,
0.1637,0,
0.1624,0,
0.1612,0,
0.1599,0,
0.1587,0,
0.1575,0,
0.1562,0,
0.155,0,
0.1537,0,
0.1525,0,
0.1513,0,
0.15,0,
0.1488,0,
0.1475,0,
0.1463,0,
0.1451,0,
0.1438,0,
0.1426,0,
0.1413,0,
0.1401,0,
0.1389,0,
0.1376,0,
0.1364,0,
0.1351,0,
0.1333,0,
0.1302,0,
0.1271,0,
0.124,0,
0.1209,0,
0.1178,0,
0.1147,0,
0.1116,0,
0.1091,0,
0.1066,0,
0.1054,0,
0.1041,0,
0.1029,0,
0.1017,0,
0.1004,0,
0.09919,0,
0.09795,0,
0.09671,0,
0.09547,0,
0.09423,0,
0.09299,0,
0.08989,0,
0.08679,0,
0.08369,0,
0.08059,0,
0.07749,0,
0.07439,0,
0.07191,0,
0.06943,0,
0.06695,0,
0.06534,0,
0.06447,0,
0.06323,0,
0.06199,0,
